CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Source
IN-00001,Male,No,Yes,Yes,50,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.91,3986.35,0,India-Synthetic
IN-00002,Female,No,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),52.36,527.06,0,India-Synthetic
IN-00003,Female,No,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,95.02,5374.21,0,India-Synthetic
IN-00004,Female,No,Yes,No,15,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),56.93,861.4,0,India-Synthetic
IN-00005,Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.02,528.49,1,India-Synthetic
IN-00006,Female,No,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.47,875.27,1,India-Synthetic
IN-00007,Male,No,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,48.68,1057.17,1,India-Synthetic
IN-00008,Female,No,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.88,1467.3,0,India-Synthetic
IN-00009,Female,No,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,59.84,2413.25,0,India-Synthetic
IN-00010,Female,No,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,69.88,3777.04,0,India-Synthetic
IN-00011,Female,No,No,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,60.08,1454.37,1,India-Synthetic
IN-00012,Male,No,No,No,18,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,36.85,673.58,0,India-Synthetic
IN-00013,Female,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,30.3,90.39,0,India-Synthetic
IN-00014,Male,No,Yes,No,51,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,90.21,4572.87,0,India-Synthetic
IN-00015,Male,Yes,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.6,1443.22,0,India-Synthetic
IN-00016,Male,No,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),57.11,745.14,1,India-Synthetic
IN-00017,Female,No,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.52,1917.64,1,India-Synthetic
IN-00018,Female,No,No,Yes,55,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,99.63,5881.68,0,India-Synthetic
IN-00019,Male,No,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),44.72,2005.56,0,India-Synthetic
IN-00020,Male,No,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,51.03,944.93,0,India-Synthetic
IN-00021,Male,No,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.77,1220.93,0,India-Synthetic
IN-00022,Male,No,No,No,40,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,70.52,2755.58,0,India-Synthetic
IN-00023,Male,No,No,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.08,124.61,1,India-Synthetic
IN-00024,Male,No,Yes,Yes,21,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,73.05,1486.27,0,India-Synthetic
IN-00025,Female,No,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.59,1116.16,0,India-Synthetic
IN-00026,Female,No,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.45,99.03,1,India-Synthetic
IN-00027,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,38.1,355.17,1,India-Synthetic
IN-00028,Female,No,Yes,Yes,43,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),58.05,2471.83,0,India-Synthetic
IN-00029,Female,No,Yes,No,29,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.59,1842.67,0,India-Synthetic
IN-00030,Male,No,No,Yes,32,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,43.92,1384.4,0,India-Synthetic
IN-00031,Female,No,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,97.08,4560.46,0,India-Synthetic
IN-00032,Male,No,No,Yes,71,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),95.2,6762.36,0,India-Synthetic
IN-00033,Male,No,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),78.0,2577.24,0,India-Synthetic
IN-00034,Female,Yes,Yes,No,46,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),76.42,3629.98,0,India-Synthetic
IN-00035,Female,No,Yes,Yes,28,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),107.46,2923.96,0,India-Synthetic
IN-00036,Female,No,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),31.6,572.72,0,India-Synthetic
IN-00037,Female,No,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.76,711.31,0,India-Synthetic
IN-00038,Female,No,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),71.47,2728.37,0,India-Synthetic
IN-00039,Female,No,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.78,140.09,1,India-Synthetic
IN-00040,Female,No,No,No,38,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),49.94,1939.68,0,India-Synthetic
IN-00041,Male,No,Yes,No,29,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),46.32,1288.78,0,India-Synthetic
IN-00042,Female,No,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.45,696.03,1,India-Synthetic
IN-00043,Male,No,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,31.83,901.55,0,India-Synthetic
IN-00044,Female,No,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.4,781.29,0,India-Synthetic
IN-00045,Female,No,No,Yes,32,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,102.47,3497.35,0,India-Synthetic
IN-00046,Female,No,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.06,746.94,1,India-Synthetic
IN-00047,Female,No,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,43.33,384.13,0,India-Synthetic
IN-00048,Female,No,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),63.68,2765.81,1,India-Synthetic
IN-00049,Female,No,Yes,No,5,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,53.23,251.41,1,India-Synthetic
IN-00050,Female,Yes,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,59.86,1801.57,1,India-Synthetic
IN-00051,Female,No,Yes,No,19,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),38.03,682.62,1,India-Synthetic
IN-00052,Male,Yes,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.59,1115.66,0,India-Synthetic
IN-00053,Male,No,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),58.34,515.14,1,India-Synthetic
IN-00054,Male,No,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.5,654.23,0,India-Synthetic
IN-00055,Male,No,No,No,34,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,71.75,2388.08,1,India-Synthetic
IN-00056,Male,No,Yes,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,69.4,1954.99,0,India-Synthetic
IN-00057,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),79.92,4371.17,0,India-Synthetic
IN-00058,Male,No,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.56,749.66,1,India-Synthetic
IN-00059,Male,Yes,No,Yes,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,22.06,278.74,0,India-Synthetic
IN-00060,Male,Yes,No,Yes,24,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),52.86,1282.3,1,India-Synthetic
IN-00061,Female,No,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,51.49,2607.85,0,India-Synthetic
IN-00062,Male,No,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.47,573.14,0,India-Synthetic
IN-00063,Male,No,No,No,62,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),100.9,6088.97,0,India-Synthetic
IN-00064,Female,No,No,Yes,30,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,60.59,1888.11,0,India-Synthetic
IN-00065,Male,No,No,No,35,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),90.01,3063.86,1,India-Synthetic
IN-00066,Female,No,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,41.07,508.12,0,India-Synthetic
IN-00067,Male,No,No,Yes,3,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,45.61,131.02,1,India-Synthetic
IN-00068,Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.59,880.89,0,India-Synthetic
IN-00069,Male,No,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,49.95,300.89,1,India-Synthetic
IN-00070,Female,No,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),36.0,1376.85,1,India-Synthetic
IN-00071,Female,No,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,61.88,359.56,1,India-Synthetic
IN-00072,Female,No,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,77.88,2372.54,0,India-Synthetic
IN-00073,Male,No,Yes,No,11,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,82.28,881.36,1,India-Synthetic
IN-00074,Female,No,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,68.72,2295.22,0,India-Synthetic
IN-00075,Female,No,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.19,804.79,1,India-Synthetic
IN-00076,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.16,48.59,1,India-Synthetic
IN-00077,Female,No,No,No,43,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,57.5,2393.19,1,India-Synthetic
IN-00078,Male,No,Yes,No,44,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,79.94,3380.19,0,India-Synthetic
IN-00079,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.8,139.77,0,India-Synthetic
IN-00080,Female,No,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,41.25,863.26,0,India-Synthetic
IN-00081,Male,No,Yes,Yes,57,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,42.37,2345.01,0,India-Synthetic
IN-00082,Male,No,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,95.22,5585.12,1,India-Synthetic
IN-00083,Male,No,No,No,21,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,18.78,380.05,1,India-Synthetic
IN-00084,Female,No,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,51.56,584.59,1,India-Synthetic
IN-00085,Male,No,Yes,No,36,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,57.0,2026.01,0,India-Synthetic
IN-00086,Male,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),57.71,1617.21,0,India-Synthetic
IN-00087,Male,No,No,No,13,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),35.88,474.11,1,India-Synthetic
IN-00088,Female,No,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.31,1123.95,0,India-Synthetic
IN-00089,Male,No,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.41,473.2,1,India-Synthetic
IN-00090,Male,No,Yes,No,9,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),53.65,497.42,1,India-Synthetic
IN-00091,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),91.96,4390.23,0,India-Synthetic
IN-00092,Female,No,Yes,No,30,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.87,2429.4,0,India-Synthetic
IN-00093,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.52,76.05,0,India-Synthetic
IN-00094,Male,No,No,Yes,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),42.71,420.36,0,India-Synthetic
IN-00095,Male,No,No,Yes,30,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),59.4,1877.07,0,India-Synthetic
IN-00096,Female,No,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,99.41,4109.13,0,India-Synthetic
IN-00097,Female,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.6,709.28,0,India-Synthetic
IN-00098,Male,No,Yes,No,36,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,67.25,2518.85,0,India-Synthetic
IN-00099,Female,Yes,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.82,1370.71,0,India-Synthetic
IN-00100,Male,No,Yes,Yes,60,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,105.7,6291.16,0,India-Synthetic
IN-00101,Male,No,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,117.08,2177.09,1,India-Synthetic
IN-00102,Male,No,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.84,296.74,1,India-Synthetic
IN-00103,Male,No,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,106.75,5968.02,0,India-Synthetic
