CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Source
PK-00001,Female,No,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),48.23,630.86,0,Pakistan-Synthetic
PK-00002,Male,Yes,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),35.89,876.2,0,Pakistan-Synthetic
PK-00003,Female,No,No,No,39,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),28.83,1130.26,0,Pakistan-Synthetic
PK-00004,Male,No,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),92.74,3441.22,0,Pakistan-Synthetic
PK-00005,Female,No,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),30.51,458.91,1,Pakistan-Synthetic
PK-00006,Male,Yes,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),84.87,4354.95,0,Pakistan-Synthetic
PK-00007,Female,No,Yes,Yes,17,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,61.57,1044.23,0,Pakistan-Synthetic
PK-00008,Male,No,No,Yes,27,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.06,1032.95,0,Pakistan-Synthetic
PK-00009,Male,No,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,103.11,4487.96,0,Pakistan-Synthetic
PK-00010,Female,No,Yes,No,53,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,95.72,4880.01,0,Pakistan-Synthetic
PK-00011,Female,No,No,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,51.23,942.7,1,Pakistan-Synthetic
PK-00012,Female,No,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,71.56,1078.35,0,Pakistan-Synthetic
PK-00013,Male,No,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,54.3,2392.18,1,Pakistan-Synthetic
PK-00014,Male,Yes,Yes,Yes,28,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.01,1667.34,1,Pakistan-Synthetic
PK-00015,Female,Yes,Yes,No,31,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),36.39,1126.5,0,Pakistan-Synthetic
PK-00016,Female,No,No,Yes,23,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.74,1041.97,0,Pakistan-Synthetic
PK-00017,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,34.43,347.56,1,Pakistan-Synthetic
PK-00018,Female,No,No,No,39,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),107.11,3903.29,0,Pakistan-Synthetic
PK-00019,Female,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),112.4,4905.41,1,Pakistan-Synthetic
PK-00020,Female,No,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.48,411.89,1,Pakistan-Synthetic
PK-00021,Male,No,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),39.58,1576.61,0,Pakistan-Synthetic
PK-00022,Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,75.58,4084.98,1,Pakistan-Synthetic
PK-00023,Female,No,No,No,64,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),110.86,6918.1,0,Pakistan-Synthetic
PK-00024,Male,No,Yes,No,25,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,57.35,1406.65,0,Pakistan-Synthetic
PK-00025,Female,No,Yes,No,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.24,835.67,0,Pakistan-Synthetic
PK-00026,Female,No,Yes,Yes,57,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,59.35,3487.88,0,Pakistan-Synthetic
PK-00027,Female,Yes,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,78.63,1961.08,1,Pakistan-Synthetic
PK-00028,Female,No,No,Yes,47,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,45.8,2194.79,1,Pakistan-Synthetic
PK-00029,Male,No,No,No,24,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.82,1610.48,0,Pakistan-Synthetic
PK-00030,Female,No,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.51,1592.58,0,Pakistan-Synthetic
PK-00031,Male,Yes,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.73,4520.55,0,Pakistan-Synthetic
PK-00032,Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,60.11,1571.73,0,Pakistan-Synthetic
PK-00033,Female,No,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),34.22,979.43,1,Pakistan-Synthetic
PK-00034,Female,No,Yes,Yes,35,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71.14,2410.7,0,Pakistan-Synthetic
PK-00035,Female,No,No,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.86,2853.02,0,Pakistan-Synthetic
PK-00036,Male,No,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),50.52,1306.13,0,Pakistan-Synthetic
