CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Source
IN-02102,Female,No,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,50.82,1666.6,1,India-Synthetic
IN-01215,Female,No,Yes,No,65,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,98.03,6479.22,0,India-Synthetic
PK-04325,Male,No,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,43.22,2757.93,1,Pakistan-Synthetic
7776-QWNFX,Male,Yes,Yes,No,30,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,1,IBM
4808-YNLEU,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,IBM
IN-06965,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.28,69.04,1,India-Synthetic
PK-06962,Male,No,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,57.86,1866.68,0,Pakistan-Synthetic
PK-02300,Female,No,Yes,Yes,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),36.69,1861.12,1,Pakistan-Synthetic
IN-00152,Male,No,Yes,No,27,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,67.31,1879.03,0,India-Synthetic
5223-UZAVK,Male,No,No,No,64,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),100.3,6603.8,0,IBM
3146-JTQHR,Male,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.6,189.45,0,IBM
7721-JXEAW,Male,No,Yes,No,59,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.05,2452.7,1,IBM
PK-03276,Male,No,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.31,358.11,1,Pakistan-Synthetic
3696-DFHHB,Female,No,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.5,1821.8,0,IBM
IN-04743,Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.85,1639.35,1,India-Synthetic
5084-OOVCJ,Female,No,Yes,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.35,920.5,0,IBM
9821-POOTN,Male,No,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,2576.2,1,IBM
IN-03823,Female,No,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.84,534.93,0,India-Synthetic
PK-06258,Male,No,Yes,Yes,39,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,65.29,2638.61,0,Pakistan-Synthetic
PK-01863,Female,No,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,50.28,2253.25,0,Pakistan-Synthetic
8039-ACLPL,Female,No,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),68.75,4888.2,0,IBM
PK-03180,Male,No,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),53.98,1627.48,0,Pakistan-Synthetic
IN-06561,Female,No,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,60.43,871.12,0,India-Synthetic
